Frame,X position (pixels),Y position (pixels),Intensity,Fit Radius
4,105.02,158.39,9224.5,1.8131
4,140.7,64.481,12111,1.8512
4,207.76,101.5,5390.7,0.53567
4,81.129,42.374,6800.8,1.1811
4,161.68,70.976,6869.3,1.1567
4,148.56,79.682,7884.2,1.1106
4,110.47,92.536,6949.2,1.2192
4,158.67,111.48,9001.4,0.68518
4,127.39,89.472,9725.9,1.2473
4,201.72,89.205,10327,0.54088
4,88.811,114.62,8567.9,1.0063
4,134.59,140.81,12180,2.2474
4,65.469,81.732,8870.5,2.5279
4,118.35,113.45,9738,2.8132
4,116.73,105.58,7305.8,1.4638
5,143.75,67.177,21409,0.93972
5,147.23,103.37,15121,1.6244
5,147.58,158.13,13409,1.2175
5,184.91,54.729,18723,1.0447
5,128.94,59.426,7759.8,0.9712
5,197.64,75.102,8881.7,0.90685
5,110.94,82.637,9129.9,0.77915
5,195.93,83.423,12967,0.72593
5,148.37,85.848,12108,1.3601
5,128.22,89.455,10258,1.3169
5,152.22,95.662,10109,0.66762
5,142.11,106.86,13739,0.9687
5,170.01,119.97,20014,0.91388
5,97.059,130.45,15276,0.82591
5,104.29,135.46,14620,1.2526
5,131.64,136.43,57864,0.90928
5,43.072,153.77,7736.4,1.089
5,154.47,166.54,11268,0.91017
5,157.38,176.28,14367,0.81638
5,185.1,98.532,8320.2,1.6769
5,92.108,113.88,12311,1.1932
5,133.8,123.63,19224,2.5922
5,117.63,127.23,8445.2,1.2372
5,104.22,150.46,16814,2.2989
5,145.63,168.7,12594,1.7205
5,141.1,64.976,10788,1.8286
5,103.69,158.21,9045.3,2.1507
5,159.01,111.13,32657,2.9653
5,47.045,115.91,6808.4,1.1516
5,133.14,67.239,8520.2,2.5727
5,187.5,81.207,8718.9,0.83775
5,201.84,89.111,7724.8,1.4018
5,118.02,107.44,7715.9,1.3209
5,183.21,108.93,8972.7,1.0564
5,191.15,110.79,9323.9,0.97675
5,159.89,121.72,5339.6,0.41143
5,161.93,152.83,9861,1.3607
5,76.93,154.73,6615.8,0.79203
5,148.49,168.84,9762.8,2.0283
5,186.98,112.49,9799.2,1.4688
5,134.44,118.82,10291,0.9853
5,154.85,47.784,12278,2.6889
5,38.545,113.68,10943,2.6944
6,142.66,58.286,17191,1.7843
6,143.79,66.837,19236,1.0966
6,111.56,83.227,10887,0.94571
6,142.48,106.57,24865,1.0479
6,92.058,113.92,16192,0.9934
6,117.64,127.83,10638,1.2295
6,120.26,140.47,16153,1.4445
6,172.13,149.7,13989,1.5297
6,76.612,155.37,9924.4,0.94307
6,173.42,156.32,10694,1.1918
6,147.65,158.07,13161,0.98603
6,197.98,74.994,5065.7,0.9275
6,185.11,47.732,8398.4,1.0117
6,185.3,54.821,9613.6,1.0323
6,147.97,79.179,8034.6,0.9575
6,148.51,85.996,10502,0.81398
6,127.75,89.624,10965,1.0835
6,152.02,95.383,13763,0.92811
6,133.14,107.89,14621,0.98088
6,158.76,111.04,10462,0.7983
6,142.71,122.25,10611,0.84474
6,99.953,127.66,13905,1.0428
6,104.59,135.77,11138,1.0381
6,131.75,136.39,40404,0.9179
6,134.31,142.4,10332,1.4382
6,88.898,114.04,8686.7,1.0923
6,133.49,68.631,11687,1.9346
6,110.43,92.642,9118.5,1.8725
6,177.96,121.61,16828,2.2442
6,134.57,125.06,11642,1.6719
6,157.63,176.57,9873.6,1.427
6,146.77,103.14,11351,2.4974
6,187.59,111.37,15692,1.6696
6,122.61,83.15,7890.9,0.87849
6,143.28,92.756,8552.4,1.0077
6,106.41,117.1,8062.3,1.2505
6,181.7,137.78,8768.1,0.9056
6,140.69,86.062,8714.8,1.5905
6,104.46,101.09,8577.6,2.2891
7,92.473,113.98,14158,1.0789
7,71.284,122.74,12756,0.72887
7,120.03,139.28,6363.3,0.96066
7,43.103,154.05,5717.4,0.96946
7,185.14,54.773,16719,1.1376
7,132.93,66.981,14867,1.0034
7,143.9,67.028,19584,0.88536
7,144.27,77.755,10246,0.97061
7,148.77,79.291,10521,0.78396
7,111.06,83.355,9874.7,0.89956
7,127.7,89.644,10874,0.94814
7,152.01,95.58,9798.5,0.74222
7,121.38,104.48,10238,1.0884
7,132.99,107.82,16822,0.96791
7,168.69,110.23,7828.3,0.80195
7,106.66,117.01,8464.1,1.1177
7,133.79,125.74,12477,1.0882
7,117.54,127.35,20302,0.87589
7,131.97,136.55,14600,0.79412
7,157.34,176.23,10725,0.82881
7,154.18,47.139,9874.4,2.1122
7,184.25,110.11,10767,1.5307
7,164.98,141.04,10185,1.7044
7,163.42,152.8,18477,2.4309
7,174.33,154.56,9143.5,1.5241
7,168.33,39.207,6360.8,0.82589
7,143.41,58.629,7770.7,1.1175
7,195.89,83.15,8303.5,1.7435
7,159.67,92.412,7020.6,0.83884
7,158.81,111.13,9131.6,0.66248
7,177.92,120.44,6536.9,1.1998
