Frame,X position (pixels),Y position (pixels),Intensity,Fit Radius
15,110.67,144.11,7688.1,1.1
15,85.451,152.1,13415,1.1
15,42.864,53.659,8012.2,1.1
16,77.988,58.063,8875.9,1.1
16,89.538,63.449,12712,1.1
16,57.095,100.84,7560.4,1.1
16,95.953,114,12549,1.1
16,85.626,152.38,15570,1.1
16,42.925,53.558,7786.6,1.1
17,89.438,63.266,11367,1.1
17,38.012,66.38,6753.6,1.1
17,111.97,69.574,10094,1.1
17,148.66,73.191,6001.9,1.1
17,44.434,73.815,7787.2,1.1
17,111.61,79.343,9875.6,1.1
17,127.5,92.009,8030,1.1
17,116.91,139.55,8936.9,1.1
17,85.489,152.35,14395,1.1
17,101.73,31.357,7593.3,1.1
18,115.38,34.27,7596.6,1.1
18,119.37,40.159,6918.7,1.1
18,43.3,54.071,8097.4,1.1
18,88.731,63.436,8374.8,1.1
18,86.026,152.2,12133,1.1
18,83.785,163.93,6327.6,1.1
18,114.36,36.616,7356.5,1.1
19,138.52,44.077,9453.9,1.1
19,78.706,45.62,10012,1.1
19,112.72,69,8691.1,1.1
19,45.228,74.974,9563.7,1.1
19,78.042,76.316,9273.7,1.1
19,91.488,79.277,11322,1.1
19,76.298,164.6,9648,1.1
19,48.973,46.169,7461.9,1.1
20,78.623,45.649,11065,1.1
20,88.973,62.903,11195,1.1
20,38.022,66.81,10786,1.1
20,50.006,76.802,6605.2,1.1
20,68.829,93.107,9366.5,1.1
20,103.45,95.697,11352,1.1
20,78.364,96.647,7949,1.1
20,92.63,101.88,7365.5,1.1
20,112.89,148.66,9874.5,1.1
20,85.553,151.94,13920,1.1
20,75.22,156.83,7956.6,1.1
20,76.233,164.2,8531.9,1.1
20,101.77,31.044,7690.4,1.1
21,137.88,44.528,7615.2,1.1
21,78.152,46.469,9056.6,1.1
21,118.46,56.593,9257.9,1.1
21,89.025,63.569,9709,1.1
21,44.371,74.518,10245,1.1
21,89.237,81.262,12239,1.1
21,127.72,91.591,9455.5,1.1
21,67.746,93.997,11002,1.1
21,102.65,95.723,12095,1.1
21,60.216,98.149,7232.6,1.1
21,85.445,152.3,10355,1.1
21,137.57,172.34,5824.1,1.1
21,37.787,66.48,11639,1.1
22,44.192,74.785,10081,1.1
22,61.014,98.295,9164.1,1.1
22,112.3,147.98,10073,1.1
22,112.13,153.1,8672.7,1.1
22,75.738,157.75,9990.6,1.1
22,69.625,163.78,8010.7,1.1
22,107.13,5.698,4589.3,1.1
23,59.898,57.006,10435,1.1
23,38.005,66.755,7804.1,1.1
23,123.69,70.91,7416.2,1.1
23,73.774,87.322,9174.8,1.1
23,127.65,91.367,9473,1.1
23,123.06,95.898,11373,1.1
23,113.98,106.27,7443.6,1.1
23,109.15,110.26,9575.3,1.1
23,97.95,124.28,8056.6,1.1
23,112.33,148.45,9136.1,1.1
23,26.89,23.752,5233.7,1.1
24,57.961,51.327,9787.1,1.1
24,59.758,57.141,11942,1.1
24,78.573,76.28,9852.9,1.1
24,72.967,87.214,12671,1.1
24,71.787,95.213,8565.7,1.1
24,89.107,120.1,9198.3,1.1
24,40.805,123.06,5744.4,1.1
24,98.884,124.31,7512.2,1.1
24,126.82,134.83,10823,1.1
24,56.208,41.267,7236.5,1.1
25,85.765,53.249,8102.7,1.1
25,121.78,69.272,8993.8,1.1
25,44.62,74.993,7739.1,1.1
25,128.6,77.898,8967.4,1.1
25,137,91.085,6677.9,1.1
25,122.85,96.123,8935.9,1.1
25,110.16,110.34,9193.3,1.1
25,89.383,124.88,10378,1.1
25,92.846,151.39,9082.5,1.1
25,85.484,152.01,7640.5,1.1
25,37.895,66.213,10368,1.1
26,102.62,95.941,11349,1.1
26,136.93,134.92,5917.4,1.1
26,112.17,153.24,11233,1.1
26,59.51,57.216,10915,1.1
27,145.75,58.21,7387.9,1.1
27,38.183,66.129,7826.2,1.1
27,58.657,83.846,9061.2,1.1
27,73.713,86.916,10169,1.1
27,123.06,95.791,11711,1.1
27,62.673,97.774,9722.3,1.1
27,85.668,152.2,9633.7,1.1
27,77.713,7.6075,7311.7,1.1
28,135.14,25.347,8647.2,1.1
28,59.482,57.565,12414,1.1
28,38.03,67.028,6833.4,1.1
28,128.6,78.008,8138.2,1.1
28,87.511,124.04,12762,1.1
28,136.52,134.39,9006.6,1.1
28,137.87,44.9,6566.2,1.1
29,78.26,45.726,9878.7,1.1
29,43.376,53.376,9918.6,1.1
29,79.678,57.626,6751.9,1.1
29,38.153,66.317,9891.2,1.1
29,44.281,74.578,9618.7,1.1
29,95.574,114.55,10956,1.1
29,123.22,114.1,12028,1.1
29,101.8,116.16,9818.8,1.1
29,87.958,124.22,17079,1.1
